"SYMBOL 
","COMPANY 
","PURPOSE 
","DETAILS 
","DATE 
"
"QPOWER","Quality Power Electrical Equipments Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and dividend","13-May-2026"
"QPOWER","Quality Power Electrical Equipments Limited","Financial Results/Dividend/Fund Raising","Further to our earlier letter dated 2nd May, 2026, we would like to inform you that an additional agenda item will also be placed in the Meeting of the Board of Directors of the Company to be held on Wednesday, 13th May, 2026, to, inter-alia, consider and approve, 1. To consider and approve an enabling resolution for raising funds, in one or more tranches, through permissible modes, subject to applicable laws.","13-May-2026"
"REDINGTON","Redington Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and dividend","13-May-2026"
"SAGCEM","Sagar Cements Limited","Financial Results","To consider and approve the financial results for the period ended March 31, 2026","13-May-2026"
"SECMARK","SecMark Consultancy Limited","Financial Results","SecMark Consultancy Ltd has informed BSE that the meeting of the Board of Directors of the Company is scheduled on 13/05/2026, inter alia, to consider and approve 1. To approve the Audited (Standalone and Consolidated) Financial Results of the Company for the quarter and financial year ended March 31, 2026. 2. Any other business which forms part of the Agenda Paper. Further, pursuant to Securities and Exchange Board of India (Prohibition of Insider Trading) Regulations, 2015 and the Company's Code of Conduct for regulating, monitoring and reporting of trading by Insiders and Code of fair disclosure of unpublished price sensitive information, the trading window of the Company for the quarter and financial ended March 31, 2026 is closed from Wednesday, April 01, 2026 and shall remain close till the expiry of 48 hours after the declaration of Audited Financial Results (Standalone & Consolidated) of the Company for the Quarter and financial year ended March 31, 2026.","13-May-2026"
"SHARDACROP","Sharda Cropchem Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and dividend","13-May-2026"
"SHRENIK","Shrenik Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended March 31, 2026 and other business matters","13-May-2026"
"SIGNATURE","Signatureglobal (India) Limited","Financial Results","To consider and approve the financial results for the period ended March 31, 2026","13-May-2026"
"SILGO","Silgo Retail Limited","Other business matters","To consider other business matters","13-May-2026"
"SKFINDIA","SKF India Limited","Financial Results/Dividend","Pursuant to Regulation 29(1) of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015 ( SEBI LODR ), we wish to inform you that, the meeting of the Board of Directors of the Company is scheduled to be held on Wednesday, 13th May 2026 to inter alia, consider and approve the following proposals amongst other things: i. Unaudited Financial Results (Standalone and Consolidated) and Audited Financial Statements (Standalone and Consolidated) of the company for the Fourth Quarter and Year Ended 31st March 2026 along with the Auditors Report thereon. ii. To consider and recommend to the shareholders the declaration of dividend, if any, on the equity shares of the Company for the financial year ended 31st March 2026, subject to approval by the members at the ensuing Annual General Meeting.","13-May-2026"
"SMARTLINK","Smartlink Holdings Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended March 31, 2026 and other business matters","13-May-2026"
"SMARTLINK","Smartlink Holdings Limited","Financial Results/Dividend/Other business matters","To consider and approve the financial results for the period ended March 31, 2026, dividend and other business matters","13-May-2026"
"SRTL","Shree Ram Twistex Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended March 31, 2026 and other business matters","13-May-2026"
"STALLION","Stallion India Fluorochemicals Limited","Financial Results","To consider and approve the financial results for the period ended March 31, 2026","13-May-2026"
"STARTECK","Starteck Finance Limited","Financial Results/Dividend/Other business matters","To consider and approve the financial results (Standalone and Consolidated) for the quarter and year ended March 31, 2026, dividend and other business matters","13-May-2026"
"TEXINFRA","Texmaco Infrastructure & Holdings Limited","Financial Results/Dividend/Other business matters","To consider and approve the financial results for the period ended March 31, 2026, dividend and other business matters","13-May-2026"
"TFCILTD","Tourism Finance Corporation of India Limited","Financial Results/Dividend/Fund Raising","To consider and approve the financial results for the period ended March 31, 2026, dividend and Fund Raising","13-May-2026"
"THEINVEST","The Investment Trust Of India Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended March 31, 2026 and other business matters","13-May-2026"
"TIINDIA","Tube Investments of India Limited","Financial Results/Dividend/Fund Raising","To consider and approve the financial results for the period ended March 31, 2026, dividend and Fund Raising","13-May-2026"
"TMCV","Tata Motors Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and dividend","13-May-2026"
"TVSHLTD","TVS Holdings Limited","Financial Results/Fund Raising","To consider and approve the financial results for the period ended March 31, 2026 and Fund Raising","13-May-2026"
"TVSMOTOR","TVS Motor Company Limited","Financial Results","To consider and approve inter alia, annual audited financial results for the year ended 31st March 2026 (Standalone and Consolidated)","13-May-2026"
"UNITEDPOLY","United Polyfab Gujarat Limited","Financial Results","To consider and approve standalone and consolidated financial results for the quarter and year  ended March 31, 2026","13-May-2026"
"ZAGGLE","Zaggle Prepaid Ocean Services Limited","Financial Results/Other business matters","Zaggle Prepaid Ocean Services Ltd has informed that the meeting of the Board of Directors of the Company is scheduled on 13/05/2026 ,inter alia, to consider and approve the Standalone and Consolidated audited Financial Results of the Company for the quarter and financial year ended on March 31, 2026 and allotment of equity shares to the eligible employees under Zaggle Employee Stock Option Scheme 2022","13-May-2026"
"ZFCVINDIA","ZF Commercial Vehicle Control Systems India Limited","Financial Results/Dividend/Bonus","To consider and approve the financial results for the period ended March 31, 2026, dividend and bonus","13-May-2026"
"ABDL","Allied Blenders and Distillers Limited","Financial Results/Dividend/Fund Raising","Audited Standalone & Consolidated Financial Results, Recommendation of Dividend and Revalidation of the approval obtained at 17th AGM held on July 08, 2025, for raising of funds.","14-May-2026"
"AKUMS","Akums Drugs and Pharmaceuticals Limited","Financial Results","Board Meeting Intimation for approval of the audited (Standalone & Consolidated) Financial Results for the quarter and financial year ended on 31st March, 2026.","14-May-2026"
"AKUMS","Akums Drugs and Pharmaceuticals Limited","Dividend","Board Meeting Intimation- Recommendation of final dividend, if any, for the F.Y. 2025-26","14-May-2026"
"ALIVUS","Alivus Life Sciences Limited","Financial Results/Dividend","To consider and approve the financial results for the quarter and year ended March 31, 2026 and to consider and recommend dividend, if any, on Equity Shares, for the year ended March 31, 2026.","14-May-2026"
"ALLCARGO","Allcargo Logistics Limited","Financial Results","To consider and approve the financial results for the period ended March 31, 2026","14-May-2026"
"ANDHRAPAP","ANDHRA PAPER LIMITED","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and dividend","14-May-2026"
"ANTGRAPHIC","Antarctica Limited","Fund Raising/Other business matters","To consider Fund Raising and other business matters","14-May-2026"
"APOLLOTYRE","Apollo Tyres Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and dividend","14-May-2026"
"ATALREAL","Atal Realtech Limited","Financial Results","To consider and approve the financial results for the period ended March 31, 2026","14-May-2026"
"ATLASCYCLE","Atlas Cycles (Haryana) Limited","Financial Results","To consider and approve the financial results for the period ended March 31, 2026","14-May-2026"
"BETA","Beta Drugs Limited","Financial Results","To consider and approve the financial results for the period ended March 31, 2026","14-May-2026"
"BORANA","Borana Weaves Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended March 31, 2026 and other business matters","14-May-2026"
"BTML","Bodhi Tree Multimedia Limited","Fund Raising/Other business matters","BTML : 14-May-2026 :  The Company has informed the Exchange that a Board meeting to be held on May 04, 2026 has been re-scheduled. Further, the Company has informed the Exchange that the meeting of the Board of Directors of the Company will be held on May 14, 2026, To consider Fund Raising and other business matters","14-May-2026"
"CAPLIPOINT","Caplin Point Laboratories Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and declaration of dividend, if any.","14-May-2026"
"CARBORUNIV","Carborundum Universal Limited","Financial Results/Dividend","To consider and approve the audited financial results for the period ended March 31, 2026 and consider final dividend, if any.","14-May-2026"
"CEINSYS","Ceinsys Tech Limited","Financial Results/Dividend/Other business matters","To consider and approve the financial results for the period ended March 31, 2026, dividend and other business matters","14-May-2026"
"CEMPRO","Cemindia Projects Limited","Dividend","To consider dividend","14-May-2026"
"CENTUM","Centum Electronics Limited","Financial Results/Dividend","This is to inform you that a meeting of the Board of Directors of the Company is scheduled on Thursday, May 14, 2026 inter-alia to:a) consider and approve the audited standalone and consolidated financial results of the Company for the fourth quarter and year ended March 31, 2026.b) consider the recommendation of Dividend, if any, for the financial year ended March 31, 2026.Further, in continuation to our disclosure on Trading Window Closure dated March 25, 2026 pursuant to the provisions of SEBI (Prohibition of Insider Trading) Regulations, 2015, as amended from time to time, the  Trading Window  for dealing in the securities of the Company shall remain closed for all the Designated Persons, their immediate relatives and connected persons of the Company till Saturday, May 16, 2026.Pursuant to Regulation 30 of SEBI Listing Regulations, we are also enclosing herewith the invitation for the earnings call with Investors/Analysts to discuss on the Company s financial and operational performance for the fourth quarter and year ended March 31, 2026 scheduled on Friday, May 15, 2026 at 16:00 hours (IST).","14-May-2026"
"CHALET","Chalet Hotels Limited","Financial Results/Dividend/Fund Raising","To consider and approve the financial results for the period ended March 31, 2026, dividend and Fund Raising","14-May-2026"
"CHAMBLFERT","Chambal Fertilizers & Chemicals Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and dividend","14-May-2026"
"CLEAN","Clean Science and Technology Limited","Financial Results/Dividend","TIn terms of provisions of Regulation 29 of SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015, a meeting of the Board of Directors of Clean Science and Technology Limited (the  Company ) is scheduled to be held on Thursday, 14th May, 2026, inter alia:a) To consider and approve Standalone and Consolidated Audited Financial Results of the Company for the Quarter and Financial Year ended 31st March, 2026;b) To consider recommending final dividend on the equity shares of the Company for the Financial Year ended 31st March, 2026, if any, subject to the approval of the Shareholders at the ensuing Annual General Meeting.","14-May-2026"
"CMSINFO","CMS Info Systems Limited","Financial Results/Dividend/Buyback","To consider and approve the financial results for the period ended March 31, 2026, dividend and buyback for equity shares","14-May-2026"
"CNL","Creative Newtech Limited","Financial Results","To consider and approve the financial results for the period ended March 31, 2026 and declare dividend","14-May-2026"
"CROWN","Crown Lifters Limited","Financial Results","To consider and approve the financial results for the period ended March 31, 2026","14-May-2026"
"DATAPATTNS","Data Patterns (India) Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and dividend","14-May-2026"
"DATAPATTNS","Data Patterns (India) Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and dividend","14-May-2026"
"DBL","Dilip Buildcon Limited","Financial Results/Dividend/Other business matters","To consider and approve the financial results for the period ended March 31, 2026, dividend and other business matters","14-May-2026"
"DECCANCE","Deccan Cements Limited","Fund Raising/Other business matters","To consider Fund Raising and other business matters","14-May-2026"
"DEEPINDS","Deep Industries Limited","Financial Results","To consider and approve the financial results for the period ended March 31, 2026","14-May-2026"
"DWARKESH","Dwarikesh Sugar Industries Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and dividend","14-May-2026"
"ENDURANCE","Endurance Technologies Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and dividend","14-May-2026"
"ENRIN","Siemens Energy India Limited","Financial Results","To consider and approve the unaudited financial results for the second quarter / six months ended March 31, 2026","14-May-2026"
"EPL","EPL Limited","Financial Results","To consider and approve the Audited Standalone and Consolidated Financial Results of the Company for the quarter and financial year ended on March 31, 2026","14-May-2026"
"ESSENTIA","Integra Essentia Limited","Fund Raising","to consider and approve matters relating to the proposed Rights Issue of the Company,","14-May-2026"
