"SYMBOL 
","COMPANY 
","PURPOSE 
","DETAILS 
","DATE 
"
"SEDEMAC","SEDEMAC Mechatronics Limited","Financial Results","To consider and approve the financial results for the quarter and year ended March 31, 2026","18-May-2026"
"SPARC","Sun Pharma Advanced Research Company Limited","Financial Results","To consider and approve the Audited Financial Results for the Quarter and Financial Year ended March 31, 2026","18-May-2026"
"STAR","Strides Pharma Science Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and dividend","18-May-2026"
"STYLEBAAZA","Baazar Style Retail Limited","Financial Results","To consider and approve the financial results for the period ended March 31, 2026","18-May-2026"
"SUBROS","Subros Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and dividend","18-May-2026"
"TERASOFT","Tera Software Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended March 31, 2026 and other business matters","18-May-2026"
"TIMKEN","Timken India Limited","Financial Results/Dividend","TIMKEN : 18-May-2026 :  The Company has informed the Exchange that a Board meeting to be held on May 14, 2026 has been re-scheduled. Further, the Company has informed the Exchange that the meeting of the Board of Directors of the Company will be held on May 18, 2026, To consider and approve the financial results for the period ended March 31, 2026 and dividend","18-May-2026"
"TRITURBINE","Triveni Turbine Limited","Financial Results/Dividend","To consider and approve the Audited Financial Results for the financial year ended March 31, 2026 and recommendation of final dividend, if any for the financial year 2025-26.","18-May-2026"
"VISAKAIND","Visaka Industries Limited","Financial Results/Dividend","Board Meeting Intimation for Approval Of Audited Financial Results Of The Company (Standalone And Consolidated) And To Recommend Dividend (Final) If Any, For The Approval Of Members Of The Company","18-May-2026"
"VLSFINANCE","VLS Finance Limited","Financial Results/Dividend/Other business matters","To consider and approve the financial results for the period ended March 31, 2026, dividend and other business matters","18-May-2026"
"VRLLOG","VRL Logistics Limited","Financial Results","To consider and approve the financial results for the period ended March 31, 2026","18-May-2026"
"YASHO","Yasho Industries Limited","Financial Results/Dividend/Other business matters","To consider and approve the financial results for the period ended March 31, 2026, dividend and other business matters","18-May-2026"
"ZYDUSWELL","Zydus Wellness Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and dividend","18-May-2026"
"ALEMBICLTD","Alembic Limited","Financial Results/Dividend/Other business matters","To consider and approve the financial results for the period ended March 31, 2026, dividend and other business matters","19-May-2026"
"AMANTA","Amanta Healthcare Limited","Financial Results","To consider and approve the financial results for the period ended March 31, 2026","19-May-2026"
"ASKAUTOLTD","ASK Automotive Limited","Financial Results/Dividend/Other business matters","To consider and approve the financial results for the period ended March 31, 2026, dividend and other business matters","19-May-2026"
"AUTOAXLES","Automotive Axles Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and dividend","19-May-2026"
"BASF","BASF India Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and dividend","19-May-2026"
"BCPL","BCPL Railway Infrastructure Limited","Financial Results/Dividend/Other business matters","To consider and approve the financial results for the period ended March 31, 2026, dividend and other business matters","19-May-2026"
"BEL","Bharat Electronics Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and dividend","19-May-2026"
"BHAGCHEM","Bhagiradha Chemicals & Industries Limited","Financial Results/Dividend/Other business matters","To consider and approve the financial results for the period ended March 31, 2026, dividend and other business matters","19-May-2026"
"BLUSPRING","Bluspring Enterprises Limited","Financial Results","To consider and approve the financial results for the quarter and financial year ended March 31, 2026.","19-May-2026"
"BOSCH-HCIL","BOSCH HOME COMFORT INDIA LIMITED","Financial Results","To consider and approve the financial results for the period ended March 31, 2026","19-May-2026"
"BPCL","Bharat Petroleum Corporation Limited","Financial Results","BPCL : 19-May-2026 :  The Company has informed the Exchange that a Board meeting to be held on May 12, 2026 has been re-scheduled. Further, the Company has informed the Exchange that the meeting of the Board of Directors of the Company will be held on May 19, 2026,  To consider and approve the financial results for the period ended March 31, 2026","19-May-2026"
"BSL","BSL Limited","Financial Results/Dividend","To consider and approve the Yearly Audited Financial Results financial results for the period ended March 31, 2026 and dividend","19-May-2026"
"BUILDPRO","Shankara Buildpro Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and dividend","19-May-2026"
"DCMFINSERV","DCM Financial Services Limited","Financial Results","To consider and approve the Audited Standalone and Consolidated financial results for the period ended March 31, 2026","19-May-2026"
"DREDGECORP","Dredging Corporation of India Limited","Financial Results","To consider and approve the financial results for the period ended March 31, 2026","19-May-2026"
"DYNAMATECH","Dynamatic Technologies Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and dividend","19-May-2026"
"FINEORG","Fine Organic Industries Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and the recommendation of the final dividend, if any","19-May-2026"
"GPIL","Godawari Power And Ispat limited","Financial Results/Dividend/Other business matters","GPIL : 19-May-2026 :  The Company has informed the Exchange that a Board meeting to be held on May 15, 2026 has been re-scheduled. Further, the Company has informed the Exchange that the meeting of the Board of Directors of the Company will be held on May 19, 2026, To consider and approve the financial results for the period ended March 31, 2026, dividend and other business matters","19-May-2026"
"GSFC","Gujarat State Fertilizers & Chemicals Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and dividend","19-May-2026"
"HATSUN","Hatsun Agro Product Limited","Financial Results/Dividend/Other business matters","To consider and approve the financial results for the period ended March 31, 2026, dividend and other business matters","19-May-2026"
"HCG","Healthcare Global Enterprises Limited","Financial Results/Other business matters","This is to inform that a meeting of the Board of Directors of the Company is scheduled to be held on Tuesday, May 19, 2026, to consider and approve inter-alia the Audited Financial Results (both Standalone and Consolidated) of the Company for the quarter and financial year ended March 31, 2026 ( Financial Results ).","19-May-2026"
"JAYSREETEA","Jayshree Tea & Industries Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended March 31, 2026 and other business matters","19-May-2026"
"JBFIND","JBF Industries Limited","Financial Results","To consider and approve Audited Financial results for the quarter and year ended March 31, 2026","19-May-2026"
"JKIL","J.Kumar Infraprojects Limited","Financial Results/Dividend","Pursuant to the Regulation 29(1) of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015, this is to inform you that a Meeting of the Board of Directors of the Company will be held on Tuesday, May 19, 2026, interalia, to consider and approve the Audited Financial Results (Standalone and Consolidated) of the Company, for the fourth Quarter and Financial Year ended March 31, 2026 and for recommendation of dividend on the equity shares of the Company, if any, for the Financial Year ended March 31, 2026.","19-May-2026"
"KIRLOSIND","Kirloskar Industries Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and dividend","19-May-2026"
"KOPRAN","Kopran Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and dividend","19-May-2026"
"MANKIND","Mankind Pharma Limited","Financial Results","To consider and approve the financial results for the period ended March 31, 2026","19-May-2026"
"MANUGRAPH","Manugraph India Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended March 31, 2026 and other business matters","19-May-2026"
"MAYURUNIQ","Mayur Uniquoters Ltd","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and dividend,if any.","19-May-2026"
"MINDTECK","Mindteck (India) Limited","Financial Results/Dividend/Other business matters","To consider and approve the financial results for the period ended March 31, 2026, dividend and other business matters","19-May-2026"
"NEPHROPLUS","Nephrocare Health Services Limited","Financial Results","To consider and approve the audited financial results for the quarter and financial year ended March 31, 2026","19-May-2026"
"ORKLAINDIA","Orkla India Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended March 31, 2026 and other business matters","19-May-2026"
"PIIND","PI Industries Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and recommendation of final dividend on equity shares, if any, for the financial year 2025-26.","19-May-2026"
"PNCINFRA","PNC Infratech Limited","Financial Results/Dividend/Other business matters","To consider and approve the financial results for the period ended March 31, 2026, dividend and other business matters","19-May-2026"
"PTC","PTC India Limited","Financial Results/Dividend","To consider and approve the audited financial results for the quarter and year ended March 31, 2026 and to consider recommendation of dividend, if any, for FY 2025-26,","19-May-2026"
"RITES","RITES Limited","Financial Results/Dividend","Board Meeting Intimation to consider and approve the Audited Standalone and Consolidated Financial Results of the Company for the Quarter and Financial Year ended on March 31, 2026 and to consider recommendation of final dividend, if any on equity shares of the Company, for the Financial Year 2025-26","19-May-2026"
"RKSWAMY","R K Swamy Limited","Financial Results/Dividend","To consider and approve the Audited Financial Results (Standalone and Consolidated) of the Company for the quarter and financial year ended March 31, 2026 and to consider and recommend Dividend, if any, on Equity Shares of the Company for the financial year 2025-26.","19-May-2026"
"SGIL","Synergy Green Industries Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and dividend","19-May-2026"
"TRANSWORLD","TRANSWORLD SHIPPING LINES LIMITED","Financial Results/Other business matters","To consider and approve the financial results for the period ended March 31, 2026 and other business matters","19-May-2026"
"ZYDUSLIFE","Zydus Lifesciences Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and dividend","19-May-2026"
"ACE","Action Construction Equipment Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and consider and recommend dividend on equity shares of the Company for the FY 2025-26.","20-May-2026"
"AMAGI","Amagi Media Labs Limited","Financial Results","To consider and approve the financial results for the period ended March 31, 2026","20-May-2026"
"AMJLAND","Amj Land Holdings Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and dividend","20-May-2026"
"APOLLOHOSP","Apollo Hospitals Enterprise Limited","Financial Results/Dividend/Other business matters","To consider and approve the financial results for the period ended March 31, 2026, dividend and other business matters","20-May-2026"
"BOSCHLTD","Bosch Limited","Financial Results/Dividend/Other business matters","To consider and approve the financial results for the period ended March 31, 2026, dividend and other business matters","20-May-2026"
"CARYSIL","CARYSIL LIMITED","Financial Results/Dividend","Board Meeting Intimation","20-May-2026"
"GRASIM","Grasim Industries Limited","Financial Results/Dividend","Grasim Industries Limited has informed the Exchange that the meeting of the Board of Directors of the Company will held on Wednesday, 20th May 2026, inter alia, to consider and approve Standalone and Consolidated Audited Financial Results of the Company for the quarter and year ended 31st March 2026 and recommend dividend, if any, on the equity shares of the Company for the year ended 31st March 2026","20-May-2026"
"HEMIPROP","Hemisphere Properties India Limited","Financial Results","To consider and approve the financial results for the period ended March 31, 2026","20-May-2026"
"HONAUT","Honeywell Automation India Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and dividend","20-May-2026"
"JUBLFOOD","Jubilant Foodworks Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and dividend","20-May-2026"
"LENSKART","Lenskart Solutions Limited","Financial Results","To consider and approve the financial results for the period ended March 31, 2026","20-May-2026"
"LMW","LMW Limited","Dividend","LMW Limited has informed the Exchange that the meeting of the Board of Directors is to be held on 20th May 2026, inter alia, to consider and recommend the Dividend for the Financial Year 2025-26.","20-May-2026"
"LMW","LMW Limited","Financial Results/Dividend","LMW Ltd has informed the Exchange that the meeting of the Board of Directors of the Company is scheduled on 20/05/2026, inter alia, to consider and approve the Audited Financial Results of the Company for the quarter and period ended 31st March 2026.","20-May-2026"
"MEDPLUS","Medplus Health Services Limited","Financial Results/Other business matters","Revised Intimation of Board Meeting under Regulation 29 of SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015 (""SEBI LODR "")","20-May-2026"
"MOTHERSON","Samvardhana Motherson International Limited","Financial Results/Dividend","Samvardhana Motherson International Limited has submitted with the Stock Exchange regarding intimation of  date of Board meeting for approval of audited standalone and consolidated financial results of the Company for the quarter and financial year ended March 31, 2026 and to recommend final dividend, if any.","20-May-2026"
"MURUDCERA","Murudeshwar Ceramics Limited","Financial Results","To consider and approve the financial results for the period ended March 31, 2026","20-May-2026"
"RUDRA","Rudra Global Infra Products Limited","Financial Results","To consider and approve the financial results for the period ended March 31, 2026","20-May-2026"
"SAMBHAAV","Sambhaav Media Limited","Financial Results","To consider and approve the financial results for the period ended March 31, 2026","20-May-2026"
"SHREYANIND","Shreyans Industries Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and dividend","20-May-2026"
"SOMICONVEY","Somi Conveyor Beltings Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended March 31, 2026 and other business matters","20-May-2026"
"TAINWALCHM","Tainwala Chemical and Plastic (I) Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended March 31, 2026 and other business matters","20-May-2026"
"TALBROAUTO","Talbros Automotive Components Limited","Financial Results/Dividend/Other business matters","To consider and approve the financial results for the period ended March 31, 2026, dividend and other business matters","20-May-2026"
"TEAMLEASE","Teamlease Services Limited","Buyback","TeamLease: Intimation on Proposal for Buyback of Equity Shares","20-May-2026"
"TEAMLEASE","Teamlease Services Limited","Financial Results","TeamLease: Intimation on Q4 FY26 Board Meeting, to consider Audited Financial Results of the Company for the quarter and financial year ended March 31, 2026","20-May-2026"
"VEEDOL","Veedol Corporation Limited","Financial Results/Dividend","To consider and approve the Financial Results for the quarter and year ended 31st March, 2026 and recommendation of final dividend for the financial year 2025-26 and book closure for the purpose.","20-May-2026"
"BIKAJI","Bikaji Foods International Limited","Financial Results/Dividend","To consider and approve the Audited Standalone and Consolidated Financial Results and to Recommend the Final Dividend for the financial year ended on March 31, 2026, if any","21-May-2026"
"CENTENKA","Century Enka Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and dividend","21-May-2026"
"CENTRUM","Centrum Capital Limited","Financial Results/Fund Raising/Other business matters","To consider and approve the financial results for the period ended March 31, 2026, Fund Raising and other business matters","21-May-2026"
"EMAMILTD","Emami Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended March 31, 2026 and other business matters","21-May-2026"
"ENGINERSIN","Engineers India Limited","Financial Results","To consider and approve the financial results for the period ended March 31, 2026","21-May-2026"
"FLAIR","Flair Writing Industries Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and final dividend for FY 2025-26.","21-May-2026"
"GAIL","GAIL (India) Limited","Financial Results","To consider and approve the financial results for the period ended March 31, 2026","21-May-2026"
"GLOBE","GLOBE ENTERPRISES (INDIA) LIMITED","Financial Results/Other business matters","To consider and approve the financial results for the period ended March 31, 2026 and other business matters","21-May-2026"
"GMMPFAUDLR","GMM Pfaudler Limited","Financial Results/Dividend","To consider and approve the Audited Standalone and Consolidated Financial Results for the quarter and financial year ended March 31, 2026, and payment of final dividend for the financial year ended March 31, 2026, if any; subject to approval of shareholders at the ensuing AGM.","21-May-2026"
"HAPPYFORGE","Happy Forgings Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and dividend","21-May-2026"
"HONASA","Honasa Consumer Limited","Financial Results/Dividend","To consider and approve the audited financial results for the quarter and financial year ended March 31, 2026 and recommendation of final dividend for the financial year 2025-26","21-May-2026"
"HYBRIDFIN","Hybrid Financial Services Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended March 31, 2026 and other business matters","21-May-2026"
"ICRA","ICRA Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and dividend","21-May-2026"
"ITC","ITC Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and dividend","21-May-2026"
"IXIGO","Le Travenues Technology Limited","Financial Results","To consider and approve the financial results for the quarter and financial year ended March 31, 2026","21-May-2026"
"KREBSBIO","Krebs Biochemicals and Industries Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended March 31, 2026 and other business matters","21-May-2026"
"LUXIND","Lux Industries Limited","Financial Results","To consider and approve the financial results for the period ended March 31, 2026","21-May-2026"
"LXCHEM","Laxmi Organic Industries Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and dividend","21-May-2026"
"MTNL","Mahanagar Telephone Nigam Limited","Financial Results","COMPLIANCE OF REGULATION 29 (1) (A) & 50 (1) (C) OF SEBI (LODR) REGULATIONS, 2015   INTIMATION OF BOARD MEETING FOR APPROVING THE AUDITED FINANCIAL STATEMENTS(STANDALONE & CONSOLIDATED) FOR THE FINANCIAL YEAR ENDED MARCH 31, 2026.","21-May-2026"
"NUCLEUS","Nucleus Software Exports Limited","Financial Results/Dividend/Other business matters","To consider and approve the financial results for the period ended March 31, 2026, dividend and other business matters","21-May-2026"
"PAGEIND","Page Industries Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and dividend","21-May-2026"
"RADIOCITY","Music Broadcast Limited","Financial Results","To consider and approve the Audited Financial Results for the financial year ended March 31, 2026","21-May-2026"
"RVNL","Rail Vikas Nigam Limited","Financial Results/Dividend","Intimation of Board Meeting","21-May-2026"
"SINCLAIR","Sinclairs Hotels Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and dividend","21-May-2026"
"TREJHARA","TREJHARA SOLUTIONS LIMITED","Financial Results","To consider and approve the financial results for the period ended March 31, 2026","21-May-2026"
"TTL","T T Limited","Financial Results","To consider and approve the financial results for the period ended March 31, 2026","21-May-2026"
"VAIBHAVGBL","Vaibhav Global Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and dividend","21-May-2026"
"WEWORK","WeWork India Management Limited","Financial Results/Other business matters","to consider and approve the audited standalone and consolidated financial results of the Company for the quarter and financial year ended March 31, 2026","21-May-2026"
"20MICRONS","20 Microns Limited","Financial Results/Dividend/Other business matters","To consider and approve the financial results for the period ended March 31, 2026, dividend and other business matters","22-May-2026"
"BIRLACABLE","Birla Cable Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and dividend","22-May-2026"
"COLPAL","Colgate Palmolive (India) Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and dividend","22-May-2026"
"EXCELINDUS","Excel Industries Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and dividend","22-May-2026"
"HINDALCO","Hindalco Industries Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and recommend dividend, if any.","22-May-2026"
"INDIGOPNTS","Indigo Paints Limited","Financial Results","To consider and approve the financial results for the period ended March 31, 2026","22-May-2026"
"JINDRILL","Jindal Drilling And Industries Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and dividend","22-May-2026"
"JUBLPHARMA","Jubilant Pharmova Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and dividend","22-May-2026"
"MAHSEAMLES","Maharashtra Seamless Limited","Financial Results/Dividend/Other business matters","To consider and approve the financial results for the period ended March 31, 2026, dividend and other business matters","22-May-2026"
"PDMJEPAPER","Pudumjee Paper Products Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and dividend","22-May-2026"
"RAMCOCEM","The Ramco Cements Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and dividend","22-May-2026"
"SHYAMCENT","Shyam Century Ferrous Limited","Financial Results","To consider and approve the financial results for the period ended March 31, 2026","22-May-2026"
"SKMEGGPROD","SKM Egg Products Export (India) Limited","Financial Results","To consider and approve the financial results for the period ended March 31, 2026","22-May-2026"
"STARCEMENT","Star Cement Limited","Financial Results","To consider and approve the Audited financial results (Standalone and Consolidated) for the quarter and year ended March 31, 2026","22-May-2026"
"SUNPHARMA","Sun Pharmaceutical Industries Limited","Financial Results/Dividend","To consider and approve the Audited Standalone and Consolidated Financial Results for the quarter and year ended 31 March 2026 and recommendation of final dividend for FY 2025-26","22-May-2026"
"TORNTPHARM","Torrent Pharmaceuticals Limited","Financial Results/Dividend/Fund Raising/Other business matters","To consider and approve the financial results for the period ended March 31, 2026, dividend, Fund Raising and other business matters","22-May-2026"
"TTKPRESTIG","TTK Prestige Limited","Financial Results/Dividend","To consider and approve the Audited financial results for the fourth quarter and year ended March 31, 2026 and declartion of dividend","22-May-2026"
"TVSELECT","TVS Electronics Limited","Financial Results","To consider and approve the audited financial results for the quarter and year ended March 31, 2026","22-May-2026"
"HBLENGINE","HBL Engineering Limited","Financial Results/Dividend","To consider and approve the audited financial results for the period ended March 31, 2026 and recommendation of dividend, if any for the financial year 2025-26","23-May-2026"
"IITL","Industrial Investment Trust Limited","Financial Results","To consider and approve the financial results for the period ended March 31, 2026","23-May-2026"
"IPL","India Pesticides Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and dividend","23-May-2026"
"SALZERELEC","Salzer Electronics Limited","Financial Results","To consider and approve the financial results for the period ended March 31, 2026","23-May-2026"
"SARDAEN","Sarda Energy & Minerals Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and dividend","23-May-2026"
"VINDHYATEL","Vindhya Telelinks Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and dividend","23-May-2026"
"ARE&M","Amara Raja Energy & Mobility Limited","Financial Results/Dividend","To consider and approve the audited financial results for the period ended March 31, 2026 and final dividend, if any","25-May-2026"
"CONCOR","Container Corporation of India Limited","Financial Results/Dividend/Other business matters","To consider and approve the financial results for the period ended March 31, 2026, dividend and other business matters","25-May-2026"
"GAYAHWS","Gayatri Highways Limited","Financial Results","To consider and approve the financial results for the period ended March 31, 2026","25-May-2026"
"IFBIND","IFB Industries Limited","Financial Results","To consider and approve the financial results for the period ended March 31, 2026","25-May-2026"
"KSHINTL","KSH International Limited","Financial Results","To consider and approve the financial results for the period ended March 31, 2026","25-May-2026"
"MADHUCON","Madhucon Projects Limited","Financial Results","To consider and approve the financial results for the period ended March 31, 2026","25-May-2026"
"NESCO","Nesco Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and dividend","25-May-2026"
"PINELABS","Pine Labs Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended March 31, 2026 and other business matters","25-May-2026"
"SUNDRMBRAK","Sundaram Brake Linings Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended March 31, 2026 and other business matters","25-May-2026"
"SUPRAJIT","Suprajit Engineering Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and dividend","25-May-2026"
"WIPL","The Western India Plywoods Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and dividend","25-May-2026"
"BHARATRAS","Bharat Rasayan Limited","Financial Results/Dividend/Other business matters","To consider and approve the audited financial results for the year ended March 31, 2026, dividend and other business matters","26-May-2026"
"JUBLINGREA","Jubilant Ingrevia Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and dividend","26-May-2026"
"JUBLINGREA","Jubilant Ingrevia Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and dividend","26-May-2026"
"ONGC","Oil & Natural Gas Corporation Limited","Financial Results/Dividend/Other business matters","To consider and approve the financial results for the period ended March 31, 2026, dividend and other business matters","26-May-2026"
"PGHL","Procter & Gamble Health Limited","Financial Results/Dividend","To consider and approve the audited financial statements for the financial year ended March 31, 2026, and recommend final dividend, if any.","26-May-2026"
"POCL","Pondy Oxides & Chemicals Limited","Financial Results/Dividend/Other business matters","To consider and approve (a) Audited Standalone and Consolidated Financial Statements for the financial year ended 2025-2026 and for the quarter ended 31st March 2026; (b) Recommendation of final dividend, if any, for the financial year 2025-26; (c) any other subject.","26-May-2026"
"SSWL","Steel Strips Wheels Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and dividend","26-May-2026"
"SUMICHEM","Sumitomo Chemical India Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and dividend","26-May-2026"
"TCI","Transport Corporation of India Limited","Financial Results","To consider and approve the financial results for the period ended March 31, 2026","26-May-2026"
"TPLPLASTEH","TPL Plastech Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and dividend","26-May-2026"
"COFFEEDAY","Coffee Day Enterprises Limited","Financial Results","To consider and approve the financial results for the period ended March 31, 2026","27-May-2026"
"CUMMINSIND","Cummins India Limited","Financial Results/Dividend","To consider and approve the audited Financial Results of the Company (Standalone and Consolidated) for the quarter and Financial Year ended March 31, 2026 and to consider recommendation of Final Dividend on equity shares of the Company for the Financial Year 2025- 26, if any, subject to the approval of the Members at the ensuing Annual General Meeting (AGM) of the Company.","27-May-2026"
"ESABINDIA","Esab India Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and dividend","27-May-2026"
"GABRIEL","Gabriel India Limited","Financial Results/Dividend","GABRIEL : 27-May-2026 :  The Company has informed the Exchange that a Board meeting to be held on May 13, 2026 has been re-scheduled. Further, the Company has informed the Exchange that the meeting of the Board of Directors of the Company will be held on May 27, 2026, To consider and approve the financial results for the period ended March 31, 2026 and dividend","27-May-2026"
"GILLETTE","Gillette India Limited","Financial Results/Dividend","Gillette India Limited has informed the Exchange about the Board Meeting to be held on May 27, 2026, to consider and approve the Audited Financial Statements of the Company for the Financial Year ending on March 31, 2026, and recommendation of Final Dividend (if any).","27-May-2026"
"HAVISHA","Sri Havisha Hospitality and Infrastructure Limited","Financial Results","To consider and approve the financial results for the period ended March 31, 2026","27-May-2026"
"SHALBY","Shalby Limited","Financial Results/Dividend/Other business matters","To consider and approve the audited financial (standalone & consolidated) results for the quarter and year ended March 31, 2026, recommendation of dividend, if any, and other business matters.","27-May-2026"
"TIMETECHNO","Time Technoplast Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and dividend","27-May-2026"
"APARINDS","Apar Industries Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and dividend","28-May-2026"
"AVANTIFEED","Avanti Feeds Limited","Financial Results/Dividend/Other business matters","To consider and approve the financial results for the period ended March 31, 2026, dividend and other business matters","28-May-2026"
"BALAXI","BALAXI PHARMACEUTICALS LIMITED","Financial Results/Other business matters","To consider and approve the audited financial results (Standalone and Consolidated) for the fourth quarter and  financial year ended March 31, 2026 and other business matters","28-May-2026"
"BANCOINDIA","Banco Products (I) Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and dividend","28-May-2026"
"GPPL","Gujarat Pipavav Port Limited","Financial Results/Dividend/Other business matters","To consider and approve the financial results for the period ended March 31, 2026, dividend and other business matters","28-May-2026"
"HECPROJECT","HEC Infra Projects Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended March 31, 2026 and other business matters","28-May-2026"
"IFBAGRO","IFB Agro Industries Limited","Financial Results","To consider and approve the financial results for the period ended March 31, 2026","28-May-2026"
"INSECTICID","Insecticides (India) Limited","Financial Results","To consider and approve the financial results for the quarter and financial year ended March 31, 2026","28-May-2026"
"ISHANCH","Ishan Dyes and Chemicals Limited","Financial Results","To consider and approve the financial results for the period ended March 31, 2026","28-May-2026"
"MBECL","Mcnally Bharat Engineering Company Limited","Financial Results","To consider and approve the financial results for the period ended March 31, 2026","28-May-2026"
"MOTOGENFIN","The Motor & General Finance Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended March 31, 2026 and other business matters","28-May-2026"
"PGHH","Procter & Gamble Hygiene and Health Care Limited","Financial Results/Dividend","To consider and approve Audited Financial Statements for the Financial Year ending on March 31, 2026 and recommendation of final dividend, if any","28-May-2026"
"TIIL","Technocraft Industries (India) Limited","Financial Results","To consider and approve the financial results for the period ended March 31, 2026","28-May-2026"
"ASIANPAINT","Asian Paints Limited","Financial Results/Dividend","This is to inform you that a meeting of the Board of Directors of the Company will be held on Friday, 29th May 2026, inter alia, to consider the following: 1. Approval of audited standalone financial results of the Company for the quarter and financial year ended 31st March 2026; 2. Approval of audited consolidated financial results of the Company for the quarter and financial year ended 31st March 2026; and 3. Recommendation of final dividend, if any, for the financial year ended 31st March 2026.","29-May-2026"
"JMFINANCIL","JM Financial Limited","Financial Results/Dividend","To consider and approve the Audited Financial Results and recommendation of Final Dividend, if any.","29-May-2026"
